"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"
10	13	27	39	8	20	24	53	43	52	44	11	49	4	37	1	12	36	22	40	41	19	17	23	38	29	48	30	31	34	32	16	33	21	50	7	5	42	9	26	51	6	14	46	45	47	3	15	18	28
33	29	48	17	23	22	40	41	1	12	44	43	10	13	27	39	25	8	20	24	53	52	11	49	4	37	3	36	19	38	30	31	34	32	16	21	50	7	5	42	9	51	6	14	46	45	47	15	18	28
10	13	39	25	8	20	24	43	53	44	52	11	49	1	12	4	37	22	40	41	17	23	36	19	38	29	48	30	31	34	33	32	16	21	50	7	26	5	42	9	51	6	14	46	3	45	47	15	18	28
18	15	47	45	46	14	6	51	9	5	42	7	21	50	16	32	34	30	31	38	19	36	4	37	11	49	52	20	24	53	8	25	10	13	27	39	43	44	1	12	22	40	41	17	23	29	48	33	26	3
48	17	23	22	33	40	41	1	12	44	43	26	10	13	27	39	25	8	20	24	53	52	11	49	4	37	36	19	38	30	31	34	32	16	21	50	7	5	42	9	3	51	6	14	46	45	47	15	18	28
31	34	32	16	21	50	38	7	19	36	5	42	9	4	37	11	49	52	20	24	53	8	25	10	13	27	39	51	6	43	44	1	12	14	22	40	41	17	23	46	29	48	33	26	45	47	15	18	3	28
30	34	32	16	21	50	38	7	19	36	5	42	9	4	37	11	49	52	20	24	53	8	25	10	13	27	39	51	6	43	44	1	12	14	22	40	41	17	23	46	29	48	33	26	45	47	15	18	3	28
16	34	21	50	30	31	7	38	5	42	19	9	36	4	37	11	49	52	20	24	53	8	51	6	25	10	13	27	39	43	44	14	1	12	46	22	40	41	17	23	29	48	33	45	47	26	15	18	28	3
29	48	26	17	23	22	40	41	1	12	44	43	10	13	27	39	25	8	20	24	53	52	11	49	4	37	36	19	38	30	31	34	32	16	21	50	3	7	5	42	9	51	6	14	46	45	47	15	18	28
30	31	32	16	21	50	7	38	19	5	36	42	9	4	37	11	49	52	20	24	53	8	25	10	13	27	39	51	6	43	44	1	12	14	46	22	40	41	17	23	29	48	33	45	26	47	15	18	3	28
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	38	4	37	11	49	52	20	24	53	30	31	8	34	32	25	16	10	13	21	27	39	50	7	43	44	5	42	9	1	12	22	40	41	17	23	29	48	51	6	33	14	46	26	45	47	15	18	3	28
4	11	49	36	52	19	38	20	24	53	8	25	10	13	27	39	30	31	34	32	43	16	44	21	50	1	12	7	22	40	41	17	23	5	42	9	29	48	33	51	6	26	14	46	45	47	15	18	3	28
19	36	4	37	11	49	30	31	34	52	32	16	20	21	24	50	53	8	25	7	10	13	27	39	5	42	9	43	44	1	12	22	40	41	17	23	51	6	29	48	33	14	46	26	45	47	15	18	3	28
10	13	27	25	8	20	24	43	53	44	52	11	49	1	12	4	37	22	40	41	17	23	36	19	38	29	48	30	31	34	33	32	16	21	50	7	26	5	42	9	51	6	14	46	3	45	47	15	18	28
22	41	17	23	1	12	29	48	44	43	10	13	27	39	33	25	8	20	24	53	52	11	49	26	4	37	36	19	38	30	31	34	32	16	21	50	7	5	42	9	51	6	3	14	46	45	47	15	18	28
22	40	17	23	1	12	29	48	44	43	10	13	27	39	33	25	8	20	24	53	52	11	49	26	4	37	36	19	38	30	31	34	32	16	21	50	7	5	42	9	51	6	3	14	46	45	47	15	18	28
5	9	7	21	50	16	32	34	30	31	51	6	38	19	36	14	4	37	46	11	49	52	20	24	53	8	25	10	13	27	39	43	44	1	12	45	22	40	41	47	17	23	15	29	48	33	18	26	28	3
44	10	13	27	39	1	12	25	8	22	40	41	20	24	53	17	23	52	11	49	29	48	4	37	36	19	38	33	30	31	34	26	32	16	21	50	7	5	42	9	51	6	14	46	3	45	47	15	18	28
43	1	12	10	13	27	39	25	22	40	41	17	23	8	20	24	53	52	29	48	11	49	4	37	36	33	19	38	26	30	31	34	32	16	21	50	7	5	42	9	51	6	14	46	3	45	47	15	18	28
47	15	18	46	14	6	51	9	5	42	28	7	21	50	16	32	34	30	31	38	19	36	4	37	11	49	52	20	24	53	8	25	10	13	27	39	43	44	1	12	22	40	41	17	23	29	48	33	26	3
14	6	51	45	47	9	15	5	42	7	21	50	16	32	34	30	31	18	38	19	36	4	37	11	49	52	20	24	53	8	25	10	13	27	39	43	44	28	1	12	22	40	41	17	23	29	48	33	26	3
45	15	18	46	14	6	51	9	28	5	42	7	21	50	16	32	34	30	31	38	19	36	4	37	11	49	52	20	24	53	8	25	10	13	27	39	43	44	1	12	22	40	41	17	23	29	48	33	26	3
29	17	23	22	33	40	41	1	12	44	43	26	10	13	27	39	25	8	20	24	53	52	11	49	4	37	36	19	38	30	31	34	32	16	21	50	7	5	42	9	3	51	6	14	46	45	47	15	18	28
11	52	4	37	20	24	53	36	8	19	38	25	10	13	27	39	43	44	30	31	34	32	16	1	12	21	50	22	40	41	17	23	7	5	42	9	29	48	33	51	6	26	14	46	45	47	15	3	18	28
21	16	32	34	30	31	7	5	42	9	38	19	36	4	37	11	49	52	51	6	20	24	53	8	25	10	13	27	39	14	43	44	46	1	12	22	40	41	17	23	29	48	33	45	47	15	26	18	28	3
6	14	46	9	5	42	7	21	50	16	32	34	30	31	38	45	19	47	36	15	4	37	11	49	52	20	24	53	8	25	10	13	27	39	18	43	44	1	12	22	40	41	17	23	29	48	33	28	26	3
11	49	4	20	24	37	53	8	25	36	10	13	19	27	39	38	43	44	30	31	1	12	34	32	16	22	40	41	21	50	17	23	7	29	48	5	42	9	33	26	51	6	14	46	45	47	15	3	18	28
20	24	8	25	52	10	11	13	27	39	49	4	37	43	36	44	19	38	1	12	22	40	41	17	23	30	31	34	32	16	29	48	21	50	7	33	5	42	9	26	51	6	14	46	45	47	15	3	18	28
